2019-04-23 03:07:08.137 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 03:08:12.864 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 03:12:02.078 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 03:18:14.426 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 03:19:17.433 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 03:23:46.461 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 03:27:21.695 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 03:29:04.049 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 03:32:45.400 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 03:41:18.537 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 03:55:51.706 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 03:58:09.186 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 05:14:32.519 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 05:17:29.492 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 05:22:51.625 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 05:24:55.752 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 05:29:47.777 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 05:34:55.616 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 05:35:58.951 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 06:08:48.443 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 06:35:07.191 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 06:59:11.828 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 07:05:04.869 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 07:21:07.468 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 07:33:08.932 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 07:38:58.572 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-26 06:50:08.688 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-26 07:17:04.463 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-26 07:19:53.803 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-26 07:21:15.104 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-26 07:27:47.874 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-26 07:29:40.069 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-26 08:08:34.659 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-26 08:12:53.439 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-26 08:16:59.972 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-26 08:39:41.324 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-26 08:41:34.224 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-28 03:35:23.510 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-28 03:42:01.975 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-28 03:49:55.186 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-28 03:51:20.983 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-28 03:56:53.246 user:; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-28 05:38:43.976 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-28 09:08:09.571 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-29 05:44:06.337 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
